timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1567531749942,4843,noomis503 /home,200,OK,Thread Group 1-1,text,true,,3272,433,1,1,https://qa.noomis.febraban.org.br/home,4843,0,4522
1567531754787,372,noomis540 /o/oauth2/iframe,200,OK,Thread Group 1-1,text,true,,1173,438,1,1,https://accounts.google.com/o/oauth2/iframe,372,0,262
1567531755177,5138,noomis531 /qa/content,200,OK,Thread Group 1-1,text,true,,26384,455,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=trend,5137,0,4243
1567531760316,704,noomis530 /qa/content/getcontentbyinteresttheme,200,OK,Thread Group 1-1,text,true,,6291,455,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content/getcontentbyinteresttheme,704,0,167
1567531761021,243,noomis526 /qa/theme,200,OK,Thread Group 1-1,text,true,,1745,427,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/theme,243,0,0
1567531761265,375,noomis528 /qa/author/getspecialistscard,200,OK,Thread Group 1-1,text,true,,4619,453,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=4,375,0,0
1567531761641,406,noomis527 /qa/content,200,OK,Thread Group 1-1,text,true,,16640,459,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=spotlight,405,0,0
1567531762048,724,noomis529 /qa/content,200,OK,Thread Group 1-1,text,true,,14839,456,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=recent,724,0,0
1567531762773,740,noomis565 /qa/content,200,OK,Thread Group 1-1,text,true,,1349,470,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=magazine,740,0,535
1567531763514,270,noomis560 /qa/content,200,OK,Thread Group 1-1,text,true,,2587,477,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=video&ciab=true,270,0,0
1567531763784,312,noomis561 /qa/content,200,OK,Thread Group 1-1,text,true,,7973,477,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=2&page=1&order=recent&type=video&ciab=true,312,0,0
1567531764097,275,login606 /o/oauth2/auth,200,OK,Thread Group 1-1,text,true,,1955,730,1,1,https://accounts.google.com/o/oauth2/auth?redirect_uri=storagerelay%3A%2F%2Fhttps%2Fqa.noomis.febraban.org.br%3Fid%3Dauth137192&response_type=permission%20id_token&scope=email%20profile%20openid&openid.realm=&client_id=953908925017-ilqp35g5tprmclouve4aa88h33qb0olv.apps.googleusercontent.com&ss_domain=https%3A%2F%2Fqa.noomis.febraban.org.br&fetch_basic_profile=true&gsiwebsdk=2,273,0,112
1567531764742,440,login608 /accounts/CheckConnection,200,OK,Thread Group 1-1,text,true,,12521,911,1,1,https://accounts.youtube.com/accounts/CheckConnection?pmpo=https%3A%2F%2Faccounts.google.com&v=-1471234930&timestamp=1567434549631,435,0,308
1567531765183,119,login630 /o/oauth2/iframerpc,200,OK,Thread Group 1-1,text,true,,626,802,1,1,https://accounts.google.com/o/oauth2/iframerpc?action=issueToken&response_type=token%20id_token&login_hint=AJDLj6ITFJsmFe44FvXmOHTDy-LHHRA3OvDj6yLqUylJoL-SE_aj1mWTcug4hzjE6CCvEq8H2UIEC07EkOpJ2WSGItHG1NXrUrBzGA-kwrdGF4o2fTGiKdU&client_id=953908925017-ilqp35g5tprmclouve4aa88h33qb0olv.apps.googleusercontent.com&origin=https%3A%2F%2Fqa.noomis.febraban.org.br&scope=openid%20profile%20email&ss_domain=https%3A%2F%2Fqa.noomis.febraban.org.br,117,0,0
1567531765302,837,login632 /qa/auth/signupwithgoogle,200,OK,Thread Group 1-1,text,true,,744,457,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/auth/signupwithgoogle,837,0,207
1567531766140,211,login634 /qa/auth/user,200,OK,Thread Group 1-1,text,true,,743,445,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/auth/user,211,0,0
1567531766351,237,login636 /qa/auth/user,200,OK,Thread Group 1-1,text,true,,2331,733,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/auth/user,237,0,0
1567531766589,988,login637 /home,304,Not Modified,Thread Group 1-1,text,true,,651,468,1,1,https://qa.noomis.febraban.org.br/home,0,0,171
1567531767577,727,login657 /qa/theme,200,OK,Thread Group 1-1,text,true,,1745,410,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/theme,727,0,198
1567531768304,190,login658 /qa/content?size=4&page=1&order=spotlight,200,OK,Thread Group 1-1,text,true,,743,499,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=spotlight,190,0,0
1567531768494,219,login667 /o/oauth2/iframe,200,OK,Thread Group 1-1,text,true,,1119,459,1,1,https://accounts.google.com/o/oauth2/iframe,216,0,108
1567531768714,203,login661 /qa/content/getcontentbyinteresttheme,200,OK,Thread Group 1-1,text,true,,743,495,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content/getcontentbyinteresttheme,203,0,0
1567531768917,203,login659 /qa/author/getspecialistscard?qty=4,200,OK,Thread Group 1-1,text,true,,743,493,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=4,203,0,0
1567531769120,178,login662 /qa/content?size=4&page=1&order=trend,200,OK,Thread Group 1-1,text,true,,743,495,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=trend,177,0,0
1567531769298,199,login660 /qa/content?size=4&page=1&order=recent,200,OK,Thread Group 1-1,text,true,,743,496,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=recent,199,0,0
1567531769497,441,login670 /qa/content?size=1&page=1&order=recent&type=video&ciab=true,200,OK,Thread Group 1-1,text,true,,743,517,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=video&ciab=true,441,0,0
1567531769938,681,log680 /qa/author/getspecialistscard,200,OK,Thread Group 1-1,text,true,,4619,781,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=4,681,0,191
1567531770620,191,log678 /qa/content?size=2&page=1&order=recent&type=video&ciab=true,200,OK,Thread Group 1-1,text,true,,743,517,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=2&page=1&order=recent&type=video&ciab=true,191,0,0
1567531770812,356,log679 /qa/content,200,OK,Thread Group 1-1,text,true,,16640,787,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=spotlight,356,0,0
1567531771171,279,log681 /qa/content/getcontentbyinteresttheme,200,OK,Thread Group 1-1,text,true,,6180,783,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content/getcontentbyinteresttheme,279,0,0
1567531771450,1225,log682 /qa/content,200,OK,Thread Group 1-1,text,true,,14839,784,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=recent,1225,0,0
1567531772676,729,loged688 /qa/content,200,OK,Thread Group 1-1,text,true,,26384,783,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=4&page=1&order=trend,728,0,331
1567531773404,425,loged690 /qa/content,200,OK,Thread Group 1-1,text,true,,2587,805,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=video&ciab=true,425,0,0
1567531773830,459,loged693 /qa/content?size=1&page=1&order=recent&type=magazine,200,OK,Thread Group 1-1,text,true,,743,510,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=magazine,459,0,0
1567531774289,475,loged697 /qa/content,200,OK,Thread Group 1-1,text,true,,7973,805,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=2&page=1&order=recent&type=video&ciab=true,475,0,0
1567531774765,663,loged706 /qa/content,200,OK,Thread Group 1-1,text,true,,1349,798,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=magazine,663,0,193
1567531775428,446,especialistas738 /qa/author/getspecialistscard?qty=100,200,OK,Thread Group 1-1,text,true,,743,504,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=100,446,0,0
1567531775874,572,especialistas751 /qa/author/getspecialistscard,200,OK,Thread Group 1-1,text,true,,9391,792,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=100,572,0,0
1567531776447,508,perfil765 /editarPerfil,200,OK,Thread Group 1-1,text,true,,5042,407,1,1,https://qa.noomis.febraban.org.br/editarPerfil,508,0,280
1567531776955,383,perfil766 /qa/tag,200,OK,Thread Group 1-1,text,true,,743,447,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/tag,383,0,201
1567531777338,256,perfil768 /o/oauth2/iframe,200,OK,Thread Group 1-1,text,true,,1141,467,1,1,https://accounts.google.com/o/oauth2/iframe,255,0,131
1567531777595,256,perfil770 /qa/tag,200,OK,Thread Group 1-1,text,true,,1199,735,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/tag,255,0,0
1567531777851,283,em alta779 /qa/theme,200,OK,Thread Group 1-1,text,true,,1745,386,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/theme,283,0,0
1567531778135,301,em alta775 /qa/author/getall,200,OK,Thread Group 1-1,text,true,,12961,394,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getall,301,0,0
1567531778437,261,em alta776 /qa/origin/getall,200,OK,Thread Group 1-1,text,true,,4302,394,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/origin/getall,261,0,0
1567531778699,220,em alta778 /qa/magazine/filters,200,OK,Thread Group 1-1,text,true,,1719,397,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/magazine/filters,220,0,0
1567531778919,179,em alta780 /qa/content?size=10&page=1&order=trend&type=recent,200,OK,Thread Group 1-1,text,true,,743,484,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=10&page=1&order=trend&type=recent,179,0,0
1567531779098,781,em alta777 /qa/category/getall,200,OK,Thread Group 1-1,text,true,,2406,396,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/category/getall,781,0,232
1567531779880,568,em alta783 /qa/content,200,OK,Thread Group 1-1,text,true,,63010,772,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=10&page=1&order=trend&type=recent,367,0,0
1567531780449,230,em alta785 /qa/theme,200,OK,Thread Group 1-1,text,true,,1745,386,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/theme,230,0,0
1567531780686,188,video796 /qa/category/getall,200,OK,Thread Group 1-1,text,true,,2406,396,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/category/getall,188,0,0
1567531780875,175,video799 /qa/content?size=10&page=1&order=recent&type=video,200,OK,Thread Group 1-1,text,true,,743,484,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=10&page=1&order=recent&type=video,175,0,0
1567531781051,203,video797 /qa/magazine/filters,200,OK,Thread Group 1-1,text,true,,1719,397,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/magazine/filters,203,0,0
1567531781254,655,video794 /qa/author/getall,200,OK,Thread Group 1-1,text,true,,12961,394,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getall,655,0,173
1567531781909,490,video795 /qa/origin/getall,200,OK,Thread Group 1-1,text,true,,4302,394,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/origin/getall,490,0,0
